Genus TaxID	Genus	Representative organism TaxID	Representative organism	Representative Organism Rank	Refseq ID
1678	Bifidobacterium	883062	Bifidobacterium bifidum S17	no rank	NC_014616.1
466152	Singulisphaera	886293	Singulisphaera acidiphila DSM 18658	no rank	NC_019892.1
111500	Muricauda	886377	Muricauda ruestringensis DSM 13258	no rank	NC_015945.1
81682	Methylovorus	887061	Methylovorus sp MP688	species	NC_014733.1
146	Spirochaeta	889378	Spirochaeta africana DSM 8902	no rank	NC_017098.1
1730	Eubacterium	903814	Eubacterium limosum KIST612	no rank	NC_014624.2
233191	Caldilinea	926550	Caldilinea aerophila DSM 14535  NBRC 104270	no rank	NC_017079.1
392733	Terriglobus	926566	Terriglobus roseus DSM 18391	no rank	NC_018014.1
233189	Anaerolinea	926569	Anaerolinea thermophila UNI-1	no rank	NC_014960.1
286	Pseudomonas	931281	Pseudomonas putida BIRD-1	no rank	NC_017530.1
1350	Enterococcus	936153	Enterococcus faecalis 62	no rank	"NC_017732.1,NC_017312.1"
469	Acinetobacter	945556	Acinetobacter baumannii D1279779	no rank	NC_020547.1
458032	Candidatus Chloracidobacterium	981222	Candidatus Chloracidobacterium thermophilum B	no rank	"NC_016024.1,NC_016025.1"
338	Xanthomonas	981368	Xanthomonas axonopodis pv citrumelo F1	no rank	NC_016010.1
291183	Lacinutrix	983544	Lacinutrix sp 5H-3-7-4	species	NC_015638.1
28067	Rubrivivax	983917	Rubrivivax gelatinosus IL144	no rank	NC_017075.1
1007	Saprospira	984262	Saprospira grandis str Lewin	no rank	NC_016940.1
1279	Staphylococcus	984892	Staphylococcus pseudintermedius ED99	no rank	NC_017568.1
119977	Acidithiobacillus	990288	Acidithiobacillus caldus SM-1	no rank	NC_015850.1
202907	Collimonas	1005048	Collimonas fungivorans Ter331	no rank	NC_015856.1
305976	Pusillimonas	1007105	Pusillimonas sp T7-7	species	NC_015458.1
40136	Oligotropha	1031710	Oligotropha carboxidovorans OM4	no rank	NC_017538.1
48736	Ralstonia	1031711	Ralstonia solanacearum Po82	no rank	NC_017574.1
29404	Microlunatus	1032480	Microlunatus phosphovorus NM-1	no rank	NC_015635.1
44249	Paenibacillus	1036673	Paenibacillus mucilaginosus KNP414	no rank	NC_015690.1
374	Bradyrhizobium	1037409	Bradyrhizobium japonicum USDA 6	no rank	NC_017249.1
570	Klebsiella	1049565	Klebsiella pneumoniae KCTC 2242	no rank	NC_017540.1
445	Legionella	1081094	Legionella pneumophila subsp pneumophila str Hextuple_2q	no rank	NC_017525.1
1082930	Pelagibacterium	1082931	Pelagibacterium halotolerans B2	no rank	NC_016078.1
780	Rickettsia	1105095	Rickettsia prowazekii str Katsinyian	no rank	NC_017050.1
2222	Methanosaeta	1110509	Methanosaeta harundinacea 6Ac	no rank	NC_017527.1
2053	Gordonia	1112204	Gordonia polyisoprenivorans VH2	no rank	NC_016906.1
1743	Propionibacterium	1114966	Propionibacterium acnes TypeIA2 Pacn33	no rank	NC_016516.1
1817	Nocardia	1127134	Nocardia cyriacigeorgica GUH-2	no rank	NC_016887.1
89404	Glaciecola	1129794	Glaciecola psychrophila 170	no rank	NC_020514.1
1827	Rhodococcus	1136179	Rhodococcus erythropolis CCM2595	no rank	NC_022115.1
83461	Corallococcus	1144275	Corallococcus coralloides DSM 2259	no rank	NC_017030.1
38501	Blastococcus	1146883	Blastococcus saxobsidens DD2	no rank	NC_016943.1
1081	Rhodospirillum	1150469	Rhodospirillum photometricum DSM 122	no rank	NC_017059.1
2742	Marinobacter	1163748	Marinobacter hydrocarbonoclasticus ATCC 49840	no rank	NC_017067.1
